Type,Name,Deadline,Checkpoint,Describe,Done
process,Create the main frame,6/6/2022,17,"1 - create main frame
2 - combie with many frame diffirence
",True
skill,Bugs Killer,6/6/2022,17,"1 - i have killed the bugs in the last version of this app
",True
process,Have a motional GUI,6/6/2022,17,"1 - my GUI can move faster than before
",True
skill,Bugs Killer,6/6/2022,17,"1 - nobody can stop me kill the bugs
",True
process,Testing 1,8/6/2022,17,"1 - Find down the problems
",True
process,Tesing 2,8/6/2022,17,"1 - check the code again to plan the things we will build in tomorrow
",True
daily,Sleep,9/6/2022,17,"1 - have a good nap
2 - sleep enough 8 hour per day
",True
process,Sign up to SAM project,24/6/2022,17,"1 - sign up to be HR of SAM
2 - i sign up in 24/5/2022
",True
process,DASA project,16/6/2022,17,"1 - i sign up to be HR of DASA project
2 - DASA is the project about culture of the Asia's countries
3 - this year DASA will come up with topic about Japan 
",True
process,THE INSTITUTE OF VIÃ‰CIE project,18/6/2022,17,"1 - I sign up to be Head HR of TIP project
2 - This project bring science come to us
",True
process,test,12/3/2022,15,"1 - test
2 - 2
3 - 3
4 - 4
",True
